,Unnamed: 0,Username,Ulasan,Kategori,hasil,comment_normalize,stopwords_removal,stopwords_removal_final,stemming
0,0,Arief Said,objek wisata dengan pemandangan alam air terjun yang masih asri dan alami  cukup indah dan menyejukkan pandangan  meski lokasinya tidak terlalu luas  jalan untuk menuju ke air terjun berbatu   cukup licin saat basah  tiket masuk  ,positif,"['objek', 'wisata', 'dengan', 'pemandangan', 'alam', 'air', 'terjun', 'yang', 'masih', 'asri', 'dan', 'alami', 'cukup', 'indah', 'dan', 'menyejukkan', 'pandangan', 'meski', 'lokasinya', 'tidak', 'terlalu', 'luas', 'jalan', 'untuk', 'menuju', 'ke', 'air', 'terjun', 'berbatu', 'cukup', 'licin', 'saat', 'basah', 'tiket', 'masuk']","['objek', 'wisata', 'dengan', 'pemandangan', 'alam', 'air', 'terjun', 'yang', 'masih', 'asri', 'dan', 'alami', 'cukup', 'indah', 'dan', 'menyejukkan', 'pandangan', 'meski', 'lokasinya', 'tidak', 'terlalu', 'luas', 'jalan', 'untuk', 'menuju', 'ke', 'air', 'terjun', 'berbatu', 'cukup', 'licin', 'saat', 'basah', 'tiket', 'masuk']","['objek', 'wisata', 'pemandangan', 'alam', 'air', 'terjun', 'asri', 'alami', 'indah', 'menyejukkan', 'pandangan', 'lokasinya', 'luas', 'jalan', 'air', 'terjun', 'berbatu', 'licin', 'basah', 'tiket', 'masuk']","['objek', 'wisata', 'pemandangan', 'alam', 'air', 'terjun', 'asri', 'alami', 'indah', 'menyejukkan', 'pandangan', 'lokasinya', 'luas', 'jalan', 'air', 'terjun', 'berbatu', 'licin', 'basah', 'tiket', 'masuk']","['objek', 'wisata', 'pandang', 'alam', 'air', 'terjun', 'asri', 'alami', 'indah', 'sejuk', 'pandang', 'lokasi', 'luas', 'jalan', 'air', 'terjun', 'batu', 'licin', 'basah', 'tiket', 'masuk']"
1,1,Fu Jr,lokasi didaerah pandaan diketinggian yg lumayan sehingga suasananya sejuk dan menyegarkan  cocok buat healing menghilangkan penat  tiket masuk rp k plus jasa parkir k area air terjun perlu dibuatkan dam  ,positif,"['lokasi', 'didaerah', 'pandaan', 'diketinggian', 'yg', 'lumayan', 'sehingga', 'suasananya', 'sejuk', 'dan', 'menyegarkan', 'cocok', 'buat', 'healing', 'menghilangkan', 'penat', 'tiket', 'masuk', 'rp', 'k', 'plus', 'jasa', 'parkir', 'k', 'area', 'air', 'terjun', 'perlu', 'dibuatkan', 'dam']","['lokasi', 'didaerah', 'pandaan', 'diketinggian', 'yg', 'lumayan', 'sehingga', 'suasananya', 'sejuk', 'dan', 'menyegarkan', 'cocok', 'buat', 'healing', 'menghilangkan', 'penat', 'tiket', 'masuk', 'rp', 'k', 'plus', 'jasa', 'parkir', 'k', 'area', 'air', 'terjun', 'perlu', 'dibuatkan', 'dam']","['lokasi', 'didaerah', 'pandaan', 'diketinggian', 'yg', 'lumayan', 'suasananya', 'sejuk', 'menyegarkan', 'cocok', 'healing', 'menghilangkan', 'penat', 'tiket', 'masuk', 'rp', 'k', 'plus', 'jasa', 'parkir', 'k', 'area', 'air', 'terjun', 'dibuatkan', 'dam']","['lokasi', 'didaerah', 'pandaan', 'diketinggian', 'yg', 'lumayan', 'suasananya', 'sejuk', 'menyegarkan', 'cocok', 'healing', 'menghilangkan', 'penat', 'tiket', 'masuk', 'rp', 'k', 'plus', 'jasa', 'parkir', 'k', 'area', 'air', 'terjun', 'dibuatkan', 'dam']","['lokasi', 'daerah', 'pandaan', 'tinggi', 'yg', 'lumayan', 'suasana', 'sejuk', 'segar', 'cocok', 'healing', 'hilang', 'penat', 'tiket', 'masuk', 'rp', 'k', 'plus', 'jasa', 'parkir', 'k', 'area', 'air', 'terjun', 'buat', 'dam']"
2,2,Vivi Prastari,worth it      saya akan meriview beberapa yep   disini kalian akan disuguhkan pemandangan air terjun yg asri dan pemandangan  ,positif,"['worth', 'it', 'saya', 'akan', 'meriview', 'beberapa', 'yep', 'disini', 'kalian', 'akan', 'disuguhkan', 'pemandangan', 'air', 'terjun', 'yg', 'asri', 'dan', 'pemandangan']","['worth', 'it', 'saya', 'akan', 'meriview', 'beberapa', 'yep', 'disini', 'kalian', 'akan', 'disuguhkan', 'pemandangan', 'air', 'terjun', 'yg', 'asri', 'dan', 'pemandangan']","['worth', 'it', 'meriview', 'yep', 'disuguhkan', 'pemandangan', 'air', 'terjun', 'yg', 'asri', 'pemandangan']","['worth', 'it', 'meriview', 'yep', 'disuguhkan', 'pemandangan', 'air', 'terjun', 'yg', 'asri', 'pemandangan']","['worth', 'it', 'meriview', 'yep', 'suguh', 'pandang', 'air', 'terjun', 'yg', 'asri', 'pandang']"
3,3,Dyta Lisdy,dewasa   org  anak   anak  parkir mobil    ,positif,"['dewasa', 'org', 'anak', 'anak', 'parkir', 'mobil']","['dewasa', 'org', 'anak', 'anak', 'parkir', 'mobil']","['dewasa', 'org', 'anak', 'anak', 'parkir', 'mobil']","['dewasa', 'org', 'anak', 'anak', 'parkir', 'mobil']","['dewasa', 'org', 'anak', 'anak', 'parkir', 'mobil']"
4,4,Martha A. Wilujeng,tiket masuk  dewasa  anak th   parkir motor   atau   agak lupa toilet bayar    ,positif,"['tiket', 'masuk', 'dewasa', 'anak', 'th', 'parkir', 'motor', 'atau', 'agak', 'lupa', 'toilet', 'bayar']","['tiket', 'masuk', 'dewasa', 'anak', 'th', 'parkir', 'motor', 'atau', 'agak', 'lupa', 'toilet', 'bayar']","['tiket', 'masuk', 'dewasa', 'anak', 'th', 'parkir', 'motor', 'lupa', 'toilet', 'bayar']","['tiket', 'masuk', 'dewasa', 'anak', 'th', 'parkir', 'motor', 'lupa', 'toilet', 'bayar']","['tiket', 'masuk', 'dewasa', 'anak', 'th', 'parkir', 'motor', 'lupa', 'toilet', 'bayar']"
5,5,"sleeping beauty, DF",dr parkir mobil   motor jalan nya g terlalu jauh hanya  meter   view nya bagus dan air terjun nya jernih bgt  tempat nya juga bersih  ada taman kelinci juga dan kolam renang  bayar lagi per karcis    pemandangan nya indah dan dingin  ,positif,"['dr', 'parkir', 'mobil', 'motor', 'jalan', 'nya', 'g', 'terlalu', 'jauh', 'hanya', 'meter', 'view', 'nya', 'bagus', 'dan', 'air', 'terjun', 'nya', 'jernih', 'bgt', 'tempat', 'nya', 'juga', 'bersih', 'ada', 'taman', 'kelinci', 'juga', 'dan', 'kolam', 'renang', 'bayar', 'lagi', 'per', 'karcis', 'pemandangan', 'nya', 'indah', 'dan', 'dingin']","['dr', 'parkir', 'mobil', 'motor', 'jalan', 'nya', 'g', 'terlalu', 'jauh', 'hanya', 'meter', 'view', 'nya', 'bagus', 'dan', 'air', 'terjun', 'nya', 'jernih', 'bgt', 'tempat', 'nya', 'juga', 'bersih', 'ada', 'taman', 'kelinci', 'juga', 'dan', 'kolam', 'renang', 'bayar', 'lagi', 'per', 'karcis', 'pemandangan', 'nya', 'indah', 'dan', 'dingin']","['dr', 'parkir', 'mobil', 'motor', 'jalan', 'nya', 'g', 'meter', 'view', 'nya', 'bagus', 'air', 'terjun', 'nya', 'jernih', 'bgt', 'nya', 'bersih', 'taman', 'kelinci', 'kolam', 'renang', 'bayar', 'karcis', 'pemandangan', 'nya', 'indah', 'dingin']","['dr', 'parkir', 'mobil', 'motor', 'jalan', 'nya', 'g', 'meter', 'view', 'nya', 'bagus', 'air', 'terjun', 'nya', 'jernih', 'bgt', 'nya', 'bersih', 'taman', 'kelinci', 'kolam', 'renang', 'bayar', 'karcis', 'pemandangan', 'nya', 'indah', 'dingin']","['dr', 'parkir', 'mobil', 'motor', 'jalan', 'nya', 'g', 'meter', 'view', 'nya', 'bagus', 'air', 'terjun', 'nya', 'jernih', 'bgt', 'nya', 'bersih', 'taman', 'kelinci', 'kolam', 'renang', 'bayar', 'karcis', 'pandang', 'nya', 'indah', 'dingin']"
6,6,Elsa Diana - Jawa Timur,wisata air terjun yg sudah terkenal namanya  akses jalan menuju kesana mudah untuk ditemukan dan bisa dilewati mobil dan motor  hanya saja jalan cukup sempit jika dilalui  mobil  jadi harus bergantian jika berpapasan dgn mobil lain  jalan  ,positif,"['wisata', 'air', 'terjun', 'yg', 'sudah', 'terkenal', 'namanya', 'akses', 'jalan', 'menuju', 'kesana', 'mudah', 'untuk', 'ditemukan', 'dan', 'bisa', 'dilewati', 'mobil', 'dan', 'motor', 'hanya', 'saja', 'jalan', 'cukup', 'sempit', 'jika', 'dilalui', 'mobil', 'jadi', 'harus', 'bergantian', 'jika', 'berpapasan', 'dgn', 'mobil', 'lain', 'jalan']","['wisata', 'air', 'terjun', 'yg', 'sudah', 'terkenal', 'namanya', 'akses', 'jalan', 'menuju', 'kesana', 'mudah', 'untuk', 'ditemukan', 'dan', 'bisa', 'dilewati', 'mobil', 'dan', 'motor', 'hanya', 'saja', 'jalan', 'cukup', 'sempit', 'jika', 'dilalui', 'mobil', 'jadi', 'harus', 'bergantian', 'jika', 'berpapasan', 'dgn', 'mobil', 'lain', 'jalan']","['wisata', 'air', 'terjun', 'yg', 'terkenal', 'namanya', 'akses', 'jalan', 'kesana', 'mudah', 'ditemukan', 'dilewati', 'mobil', 'motor', 'jalan', 'sempit', 'mobil', 'bergantian', 'berpapasan', 'dgn', 'mobil', 'jalan']","['wisata', 'air', 'terjun', 'yg', 'terkenal', 'namanya', 'akses', 'jalan', 'kesana', 'mudah', 'ditemukan', 'dilewati', 'mobil', 'motor', 'jalan', 'sempit', 'mobil', 'bergantian', 'berpapasan', 'dgn', 'mobil', 'jalan']","['wisata', 'air', 'terjun', 'yg', 'kenal', 'nama', 'akses', 'jalan', 'kesana', 'mudah', 'temu', 'lewat', 'mobil', 'motor', 'jalan', 'sempit', 'mobil', 'ganti', 'papas', 'dgn', 'mobil', 'jalan']"
7,7,Roni Simanjuntak,waterfall view yang bagus dan menarik  dapat dicapai tidak terlalu jauh dari parkir mobil sehingga keluarga dapat menikmati sejuk dan freshnya air terjun ini    ,positif,"['waterfall', 'view', 'yang', 'bagus', 'dan', 'menarik', 'dapat', 'dicapai', 'tidak', 'terlalu', 'jauh', 'dari', 'parkir', 'mobil', 'sehingga', 'keluarga', 'dapat', 'menikmati', 'sejuk', 'dan', 'freshnya', 'air', 'terjun', 'ini']","['waterfall', 'view', 'yang', 'bagus', 'dan', 'menarik', 'dapat', 'dicapai', 'tidak', 'terlalu', 'jauh', 'dari', 'parkir', 'mobil', 'sehingga', 'keluarga', 'dapat', 'menikmati', 'sejuk', 'dan', 'freshnya', 'air', 'terjun', 'ini']","['waterfall', 'view', 'bagus', 'menarik', 'dicapai', 'parkir', 'mobil', 'keluarga', 'menikmati', 'sejuk', 'freshnya', 'air', 'terjun']","['waterfall', 'view', 'bagus', 'menarik', 'dicapai', 'parkir', 'mobil', 'keluarga', 'menikmati', 'sejuk', 'freshnya', 'air', 'terjun']","['waterfall', 'view', 'bagus', 'tarik', 'capai', 'parkir', 'mobil', 'keluarga', 'nikmat', 'sejuk', 'freshnya', 'air', 'terjun']"
8,8,Anita _R,bagus masih asri  sejuk  bisa camping  piknik  jangan lupa bawa tikar   main air  family or friends time  ada beberapa spot yang bayar  contohnya masuk wilayah taman kelinci   orang bayar rb  utk area air terjun free cuma bayar tiket masuk  tapi bagi yang mengendarai mobil your driver pastikan ahli untuk jalan yang agak ekstrim ,positif,"['bagus', 'masih', 'asri', 'sejuk', 'bisa', 'camping', 'piknik', 'jangan', 'lupa', 'bawa', 'tikar', 'main', 'air', 'family', 'or', 'friends', 'time', 'ada', 'beberapa', 'spot', 'yang', 'bayar', 'contohnya', 'masuk', 'wilayah', 'taman', 'kelinci', 'orang', 'bayar', 'rb', 'utk', 'area', 'air', 'terjun', 'free', 'cuma', 'bayar', 'tiket', 'masuk', 'tapi', 'bagi', 'yang', 'mengendarai', 'mobil', 'your', 'driver', 'pastikan', 'ahli', 'untuk', 'jalan', 'yang', 'agak', 'ekstrim']","['bagus', 'masih', 'asri', 'sejuk', 'bisa', 'camping', 'piknik', 'jangan', 'lupa', 'bawa', 'tikar', 'main', 'air', 'family', 'or', 'friends', 'time', 'ada', 'beberapa', 'spot', 'yang', 'bayar', 'contohnya', 'masuk', 'wilayah', 'taman', 'kelinci', 'orang', 'bayar', 'rb', 'utk', 'area', 'air', 'terjun', 'free', 'cuma', 'bayar', 'tiket', 'masuk', 'tapi', 'bagi', 'yang', 'mengendarai', 'mobil', 'your', 'driver', 'pastikan', 'ahli', 'untuk', 'jalan', 'yang', 'agak', 'ekstrim']","['bagus', 'asri', 'sejuk', 'camping', 'piknik', 'lupa', 'bawa', 'tikar', 'main', 'air', 'family', 'or', 'friends', 'time', 'spot', 'bayar', 'contohnya', 'masuk', 'wilayah', 'taman', 'kelinci', 'orang', 'bayar', 'rb', 'utk', 'area', 'air', 'terjun', 'free', 'bayar', 'tiket', 'masuk', 'mengendarai', 'mobil', 'your', 'driver', 'pastikan', 'ahli', 'jalan', 'ekstrim']","['bagus', 'asri', 'sejuk', 'camping', 'piknik', 'lupa', 'bawa', 'tikar', 'main', 'air', 'family', 'or', 'friends', 'time', 'spot', 'bayar', 'contohnya', 'masuk', 'wilayah', 'taman', 'kelinci', 'orang', 'bayar', 'rb', 'utk', 'area', 'air', 'terjun', 'free', 'bayar', 'tiket', 'masuk', 'mengendarai', 'mobil', 'your', 'driver', 'pastikan', 'ahli', 'jalan', 'ekstrim']","['bagus', 'asri', 'sejuk', 'camping', 'piknik', 'lupa', 'bawa', 'tikar', 'main', 'air', 'family', 'or', 'friends', 'time', 'spot', 'bayar', 'contoh', 'masuk', 'wilayah', 'taman', 'kelinci', 'orang', 'bayar', 'rb', 'utk', 'area', 'air', 'terjun', 'free', 'bayar', 'tiket', 'masuk', 'kendara', 'mobil', 'your', 'driver', 'pasti', 'ahli', 'jalan', 'ekstrim']"
9,9,Halwa annisa Aan & rudi,harga ribu perorang di tanggal  januari kemaren   gak kecewa  sesuai dengan ekspektasi   ada cafe   kolam renang mini buat anak  hanya ribu aja   ,positif,"['harga', 'ribu', 'perorang', 'di', 'tanggal', 'januari', 'kemaren', 'gak', 'kecewa', 'sesuai', 'dengan', 'ekspektasi', 'ada', 'cafe', 'kolam', 'renang', 'mini', 'buat', 'anak', 'hanya', 'ribu', 'aja']","['harga', 'ribu', 'perorang', 'di', 'tanggal', 'januari', 'kemaren', 'gak', 'kecewa', 'sesuai', 'dengan', 'ekspektasi', 'ada', 'cafe', 'kolam', 'renang', 'mini', 'buat', 'anak', 'hanya', 'ribu', 'aja']","['harga', 'ribu', 'perorang', 'tanggal', 'januari', 'kemaren', 'gak', 'kecewa', 'sesuai', 'ekspektasi', 'cafe', 'kolam', 'renang', 'mini', 'anak', 'ribu', 'aja']","['harga', 'ribu', 'perorang', 'tanggal', 'januari', 'kemaren', 'gak', 'kecewa', 'sesuai', 'ekspektasi', 'cafe', 'kolam', 'renang', 'mini', 'anak', 'ribu', 'aja']","['harga', 'ribu', 'orang', 'tanggal', 'januari', 'kemaren', 'gak', 'kecewa', 'sesuai', 'ekspektasi', 'cafe', 'kolam', 'renang', 'mini', 'anak', 'ribu', 'aja']"
